key	track	Name	length	artist	primary	instrument	radius
34	1	I Am All That I Need / Arroyo Seco / Thumbprint Scar	385	Dave Eggar		Cello	4
35	1	I Am All That I Need / Arroyo Seco / Thumbprint Scar	385	Andy Clausen		 Trombone	4
36	1	I Am All That I Need / Arroyo Seco / Thumbprint Scar	385	Willem De Koch		 Trombone	4
37	1	I Am All That I Need / Arroyo Seco / Thumbprint Scar	385	Zubin Hensler		 Trumpet	4
38	1	I Am All That I Need / Arroyo Seco / Thumbprint Scar	385	Riley Mulherkar		 Trumpet	4
39	1	I Am All That I Need / Arroyo Seco / Thumbprint Scar	385	Pheonix Forte Choir		Vocals	4
40	2	"Cassius,-"	290	Robin Pecknold	1	Vocals	4
41	2	"Cassius,-"	290	Robin Pecknold	1	Classical Guitar	4
42	2	"Cassius,-"	290	Robin Pecknold	1	Dreadnought	4
43	2	"Cassius,-"	290	Robin Pecknold	1	12 String Acoustic	4
44	2	"Cassius,-"	290	Robin Pecknold	1	12 String Electric	4
45	2	"Cassius,-"	290	Robin Pecknold	1	Fender Bass	4
46	2	"Cassius,-"	290	Robin Pecknold	1	Piano	4
47	2	"Cassius,-"	290	Robin Pecknold	1	Moog Minitaur	4
48	2	"Cassius,-"	290	Robin Pecknold	1	Korg Drum Machine	4
49	2	"Cassius,-"	290	Skyler Skjelset	1	Electric Guitar	4
50	2	"Cassius,-"	290	Casey Wescott	1	Programming	4
51	2	"Cassius,-"	290	Hannah Epperson		Violin	4
52	2	"Cassius,-"	290	Matthew Barrick		Drum Kit	4
53	2	"Cassius,-"	290	Matthew Barrick		Percussion	4
54	2	"Cassius,-"	290	Andy Clausen		 Trombone	4
55	2	"Cassius,-"	290	Willem De Koch		 Trombone	4
56	2	"Cassius,-"	290	Zubin Hensler		 Trumpet	4
57	2	"Cassius,-"	290	Riley Mulherkar		 Trumpet	4
58	2	"Cassius,-"	290	Robin Pecknold	1	Electric Guitar	4
59	2	"Cassius,-"	290	Robin Pecknold	1	Baldwin Electric Harpsichord	4
60	2	"Cassius,-"	290	Robin Pecknold	1	Prepared Autoharp	4
61	2	"Cassius,-"	290	Robin Pecknold	1	Marimba	4
62	2	"Cassius,-"	290	Robin Pecknold	1	Hammond Organ	4
63	2	"Cassius,-"	290	Robin Pecknold	1	Water Loop	4
64	2	"Cassius,-"	290	Robin Pecknold	1	Percussion	4
65	2	"Cassius,-"	290	Skyler Skjelset	1	Fender Bass	4
66	2	"Cassius,-"	290	Skyler Skjelset	1	Synthesizer	4
67	2	"Cassius,-"	290	Skyler Skjelset	1	Pencil On Paper	4
68	2	"Cassius,-"	290	Skyler Skjelset	1	Cicada Loop	4
69	2	"Cassius,-"	290	Skyler Skjelset	1	Glass Harmonica	4
70	2	"Cassius,-"	290	Skyler Skjelset	1	Programming	4
71	2	"Cassius,-"	290	Skyler Skjelset	1	Foley	4
72	2	"Cassius,-"	290	Casey Wescott	1	Kettledrum	4
73	2	"Cassius,-"	290	Morgan Henderson	1	Pitched Flute	4
74	2	"Cassius,-"	290	Morgan Henderson	1	Pitched Clarinet	4
75	3	"– Naiads, Cassadies"	191	Robin Pecknold	1	Vocals	4
76	3	"– Naiads, Cassadies"	191	Robin Pecknold	1	Classical Guitar	4
77	3	"– Naiads, Cassadies"	191	Robin Pecknold	1	12 String Electric	4
78	3	"– Naiads, Cassadies"	191	Robin Pecknold	1	Fender Bass	4
79	3	"– Naiads, Cassadies"	191	Robin Pecknold	1	Piano	4
80	3	"– Naiads, Cassadies"	191	Hannah Epperson		Violin	4
81	3	"– Naiads, Cassadies"	191	Matthew Barrick		Drum Kit	4
82	3	"– Naiads, Cassadies"	191	Matthew Barrick		Percussion	4
83	3	"– Naiads, Cassadies"	191	Andy Clausen		 Trombone	4
84	3	"– Naiads, Cassadies"	191	Willem De Koch		 Trombone	4
85	3	"– Naiads, Cassadies"	191	Zubin Hensler		 Trumpet	4
86	3	"– Naiads, Cassadies"	191	Riley Mulherkar		 Trumpet	4
87	3	"– Naiads, Cassadies"	191	Robin Pecknold	1	Electric Guitar	4
88	3	"– Naiads, Cassadies"	191	Robin Pecknold	1	Percussion	4
89	3	"– Naiads, Cassadies"	191	Christian Wargo	1	Vocals	4
90	3	"– Naiads, Cassadies"	191	Robin Pecknold	1	Varispeed	4
91	4	Kept Woman	235	Robin Pecknold	1	Vocals	4
92	4	Kept Woman	235	Robin Pecknold	1	Classical Guitar	4
93	4	Kept Woman	235	Robin Pecknold	1	Fender Bass	4
94	4	Kept Woman	235	Robin Pecknold	1	Piano	4
95	4	Kept Woman	235	Andy Clausen		 Trombone	4
96	4	Kept Woman	235	Willem De Koch		 Trombone	4
97	4	Kept Woman	235	Zubin Hensler		 Trumpet	4
98	4	Kept Woman	235	Riley Mulherkar		 Trumpet	4
99	4	Kept Woman	235	Robin Pecknold	1	Electric Guitar	4
100	4	Kept Woman	235	Robin Pecknold	1	Dreadnought	4
101	4	Kept Woman	235	Robin Pecknold	1	Baldwin Electric Harpsichord	4
102	4	Kept Woman	235	Robin Pecknold	1	Marimba	4
103	4	Kept Woman	235	Skyler Skjelset	1	Synthesizer	4
104	4	Kept Woman	235	Skyler Skjelset	1	Programming	4
105	4	Kept Woman	235	Skyler Skjelset	1	Piano	4
106	4	Kept Woman	235	Skyler Skjelset	1	Bowed Cymbal	4
107	4	Kept Woman	235	Skyler Skjelset	1	Shamisen	4
108	5	Third Of May / Odaigahara	528	Robin Pecknold	1	Vocals	4
109	5	Third Of May / Odaigahara	528	Robin Pecknold	1	Classical Guitar	4
110	5	Third Of May / Odaigahara	528	Robin Pecknold	1	Fender Bass	4
111	5	Third Of May / Odaigahara	528	Robin Pecknold	1	Piano	4
112	5	Third Of May / Odaigahara	528	Andy Clausen		 Trombone	4
113	5	Third Of May / Odaigahara	528	Willem De Koch		 Trombone	4
114	5	Third Of May / Odaigahara	528	Zubin Hensler		 Trumpet	4
115	5	Third Of May / Odaigahara	528	Riley Mulherkar		 Trumpet	4
116	5	Third Of May / Odaigahara	528	Robin Pecknold	1	Electric Guitar	4
117	5	Third Of May / Odaigahara	528	Robin Pecknold	1	Dreadnought	4
118	5	Third Of May / Odaigahara	528	Robin Pecknold	1	Baldwin Electric Harpsichord	4
119	5	Third Of May / Odaigahara	528	Skyler Skjelset	1	Synthesizer	4
120	5	Third Of May / Odaigahara	528	Skyler Skjelset	1	Programming	4
121	5	Third Of May / Odaigahara	528	Skyler Skjelset	1	Shamisen	4
122	5	Third Of May / Odaigahara	528	Hannah Epperson		Violin	4
123	5	Third Of May / Odaigahara	528	Matthew Barrick		Drum Kit	4
124	5	Third Of May / Odaigahara	528	Matthew Barrick		Percussion	4
125	5	Third Of May / Odaigahara	528	Robin Pecknold	1	Percussion	4
126	5	Third Of May / Odaigahara	528	Robin Pecknold	1	Moog Minitaur	4
127	5	Third Of May / Odaigahara	528	Skyler Skjelset	1	Electric Guitar	4
128	5	Third Of May / Odaigahara	528	Robin Pecknold	1	Prepared Autoharp	4
129	5	Third Of May / Odaigahara	528	Robin Pecknold	1	Hammond Organ	4
130	5	Third Of May / Odaigahara	528	Russell Durham		Violin	4
131	5	Third Of May / Odaigahara	528	Jeremy Kittel		Violin	4
132	5	Third Of May / Odaigahara	528	Nicholas Cords		Viola	4
133	5	Third Of May / Odaigahara	528	Dave Eggar		Cello	4
134	5	Third Of May / Odaigahara	528	Skyler Skjelset	1	Vocals	4
135	5	Third Of May / Odaigahara	528	Skyler Skjelset	1	Percussion	4
136	5	Third Of May / Odaigahara	528	Casey Wescott	1	Koto	4
137	6	"If You Need To, Keep Time On Me"	211	Robin Pecknold	1	Vocals	4
138	6	"If You Need To, Keep Time On Me"	211	Robin Pecknold	1	Classical Guitar	4
139	6	"If You Need To, Keep Time On Me"	211	Robin Pecknold	1	Fender Bass	4
140	6	"If You Need To, Keep Time On Me"	211	Robin Pecknold	1	Piano	4
141	6	"If You Need To, Keep Time On Me"	211	Andy Clausen		 Trombone	4
142	6	"If You Need To, Keep Time On Me"	211	Willem De Koch		 Trombone	4
143	6	"If You Need To, Keep Time On Me"	211	Zubin Hensler		 Trumpet	4
144	6	"If You Need To, Keep Time On Me"	211	Riley Mulherkar		 Trumpet	4
145	6	"If You Need To, Keep Time On Me"	211	Robin Pecknold	1	Dreadnought	4
146	6	"If You Need To, Keep Time On Me"	211	Skyler Skjelset	1	Programming	4
147	6	"If You Need To, Keep Time On Me"	211	Robin Pecknold	1	Hammond Organ	4
148	6	"If You Need To, Keep Time On Me"	211	Skyler Skjelset	1	Piano	4
149	6	"If You Need To, Keep Time On Me"	211	Skyler Skjelset	1	Foley	4
150	7	Mearcstapa	250	Robin Pecknold	1	Vocals	4
151	7	Mearcstapa	250	Robin Pecknold	1	Fender Bass	4
152	7	Mearcstapa	250	Andy Clausen		 Trombone	4
153	7	Mearcstapa	250	Willem De Koch		 Trombone	4
154	7	Mearcstapa	250	Zubin Hensler		 Trumpet	4
155	7	Mearcstapa	250	Riley Mulherkar		 Trumpet	4
156	7	Mearcstapa	250	Robin Pecknold	1	Dreadnought	4
157	7	Mearcstapa	250	Robin Pecknold	1	Electric Guitar	4
158	7	Mearcstapa	250	Robin Pecknold	1	Moog Minitaur	4
159	7	Mearcstapa	250	Russell Durham		Violin	4
160	7	Mearcstapa	250	Jeremy Kittel		Violin	4
161	7	Mearcstapa	250	Nicholas Cords		Viola	4
162	7	Mearcstapa	250	Dave Eggar		Cello	4
163	7	Mearcstapa	250	Robin Pecknold	1	12 String Electric	4
164	7	Mearcstapa	250	Casey Wescott	1	Programming	4
165	7	Mearcstapa	250	Christian Wargo	1	Bass	4
166	7	Mearcstapa	250	Casey Wescott	1	Qraqebs	4
167	7	Mearcstapa	250	Morgan Henderson	1	Qraqebs	4
168	7	Mearcstapa	250	Morgan Henderson	1	Double Bass	4
169	7	Mearcstapa	250	Robin Pecknold	1	Synthesizer	4
170	7	Mearcstapa	250	Skyler Skjelset	1	Korg Drum Machine	4
171	7	Mearcstapa	250	Skyler Skjelset	1	Amplifier Noise	4
172	7	Mearcstapa	250	Casey Wescott	1	Harpsichord	4
173	7	Mearcstapa	250	Casey Wescott	1	Blue Noise Synth	4
174	7	Mearcstapa	250	Christopher Icasiano		Drum Kit	4
175	7	Mearcstapa	250	Christopher Icasiano		Percussion	4
176	8	On Another Ocean (January / June)	263	Robin Pecknold	1	Vocals	4
177	8	On Another Ocean (January / June)	263	Robin Pecknold	1	Fender Bass	4
178	8	On Another Ocean (January / June)	263	Andy Clausen		 Trombone	4
179	8	On Another Ocean (January / June)	263	Willem De Koch		 Trombone	4
180	8	On Another Ocean (January / June)	263	Zubin Hensler		 Trumpet	4
181	8	On Another Ocean (January / June)	263	Riley Mulherkar		 Trumpet	4
182	8	On Another Ocean (January / June)	263	Robin Pecknold	1	Dreadnought	4
183	8	On Another Ocean (January / June)	263	Robin Pecknold	1	Electric Guitar	4
184	8	On Another Ocean (January / June)	263	Robin Pecknold	1	12 String Electric	4
185	8	On Another Ocean (January / June)	263	Robin Pecknold	1	Synthesizer	4
186	8	On Another Ocean (January / June)	263	Christopher Icasiano		Drum Kit	4
187	8	On Another Ocean (January / June)	263	Christopher Icasiano		Percussion	4
188	8	On Another Ocean (January / June)	263	Robin Pecknold	1	Classical Guitar	4
189	8	On Another Ocean (January / June)	263	Robin Pecknold	1	Piano	4
190	8	On Another Ocean (January / June)	263	Robin Pecknold	1	Baldwin Electric Harpsichord	4
191	8	On Another Ocean (January / June)	263	Skyler Skjelset	1	Synthesizer	4
192	8	On Another Ocean (January / June)	263	Robin Pecknold	1	Mellotron	4
193	8	On Another Ocean (January / June)	263	Robin Pecknold	1	Door	4
194	8	On Another Ocean (January / June)	263	Morgan Henderson	1	Cello	4
195	8	On Another Ocean (January / June)	263	Neal Morgan		Drum Kit	4
196	8	On Another Ocean (January / June)	263	Robin Pecknold	1	Footsteps	4
197	8	On Another Ocean (January / June)	263	Skyler Skjelset	1	Footsteps	4
198	8	On Another Ocean (January / June)	263	Skyler Skjelset	1	Moog Minitaur	4
199	8	On Another Ocean (January / June)	263	Mulatu Astatke		Sample	4
200	9	Fool’S Errand	288	Robin Pecknold	1	Vocals	4
201	9	Fool’S Errand	288	Robin Pecknold	1	Fender Bass	4
202	9	Fool’S Errand	288	Andy Clausen		 Trombone	4
203	9	Fool’S Errand	288	Willem De Koch		 Trombone	4
204	9	Fool’S Errand	288	Zubin Hensler		 Trumpet	4
205	9	Fool’S Errand	288	Riley Mulherkar		 Trumpet	4
206	9	Fool’S Errand	288	Robin Pecknold	1	Dreadnought	4
207	9	Fool’S Errand	288	Robin Pecknold	1	Classical Guitar	4
208	9	Fool’S Errand	288	Robin Pecknold	1	Piano	4
209	9	Fool’S Errand	288	Robin Pecknold	1	Baldwin Electric Harpsichord	4
210	9	Fool’S Errand	288	Skyler Skjelset	1	Synthesizer	4
211	9	Fool’S Errand	288	Robin Pecknold	1	Moog Minitaur	4
212	9	Fool’S Errand	288	Matthew Barrick		Drum Kit	4
213	9	Fool’S Errand	288	Matthew Barrick		Percussion	4
214	9	Fool’S Errand	288	Robin Pecknold	1	Prepared Autoharp	4
215	9	Fool’S Errand	288	Skyler Skjelset	1	Vocals	4
216	9	Fool’S Errand	288	Robin Pecknold	1	Marimba	4
217	9	Fool’S Errand	288	Robin Pecknold	1	12 String Acoustic	4
218	9	Fool’S Errand	288	Skyler Skjelset	1	Water Harp	4
219	10	I Should See Memphis	284	Robin Pecknold	1	Vocals	4
220	10	I Should See Memphis	284	Andy Clausen		 Trombone	4
221	10	I Should See Memphis	284	Willem De Koch		 Trombone	4
222	10	I Should See Memphis	284	Zubin Hensler		 Trumpet	4
223	10	I Should See Memphis	284	Riley Mulherkar		 Trumpet	4
224	10	I Should See Memphis	284	Robin Pecknold	1	Dreadnought	4
225	10	I Should See Memphis	284	Robin Pecknold	1	Classical Guitar	4
226	10	I Should See Memphis	284	Robin Pecknold	1	Moog Minitaur	4
227	10	I Should See Memphis	284	Russell Durham		Violin	4
228	10	I Should See Memphis	284	Jeremy Kittel		Violin	4
229	10	I Should See Memphis	284	Nicholas Cords		Viola	4
230	10	I Should See Memphis	284	Dave Eggar		Cello	4
231	10	I Should See Memphis	284	Christian Wargo	1	Bass	4
232	10	I Should See Memphis	284	Robin Pecknold	1	Percussion	4
233	10	I Should See Memphis	284	Robin Pecknold	1	Memory Man Deluxe	4
234	10	I Should See Memphis	284	Christian Wargo	1	Drum Kit	4
235	10	I Should See Memphis	284	Morgan Henderson	1	Alto Flute	4
236	11	Crack-Up	384	Robin Pecknold	1	Vocals	4
237	11	Crack-Up	384	Andy Clausen		 Trombone	4
238	11	Crack-Up	384	Willem De Koch		 Trombone	4
239	11	Crack-Up	384	Zubin Hensler		 Trumpet	4
240	11	Crack-Up	384	Riley Mulherkar		 Trumpet	4
241	11	Crack-Up	384	Robin Pecknold	1	Dreadnought	4
242	11	Crack-Up	384	Robin Pecknold	1	Classical Guitar	4
243	11	Crack-Up	384	Christian Wargo	1	Bass	4
244	11	Crack-Up	384	Robin Pecknold	1	Fender Bass	4
245	11	Crack-Up	384	Robin Pecknold	1	Piano	4
246	11	Crack-Up	384	Robin Pecknold	1	Baldwin Electric Harpsichord	4
247	11	Crack-Up	384	Robin Pecknold	1	12 String Acoustic	4
248	11	Crack-Up	384	Robin Pecknold	1	Electric Guitar	4
249	11	Crack-Up	384	Christopher Icasiano		Drum Kit	4
250	11	Crack-Up	384	Christopher Icasiano		Percussion	4
251	11	Crack-Up	384	Robin Pecknold	1	Door	4
252	11	Crack-Up	384	Robin Pecknold	1	Footsteps	4
253	11	Crack-Up	384	Casey Wescott	1	Programming	4
254	11	Crack-Up	384	Casey Wescott	1	Blue Noise Synth	4
255	11	Crack-Up	384	Hannah Epperson		Violin	4
256	11	Crack-Up	384	Skyler Skjelset	1	Bowed Cymbal	4
257	11	Crack-Up	384	Casey Wescott	1	Chromatic Bells	4
258	11	Crack-Up	384	Morgan Henderson	1	Pitched Bass Clarinet	4
