key,artist,primary,instrument_group,instrument,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11
,Skyler Skjelset,1,,PROGRAMMING,0,1,0,1,1,1,0,0,0,0,0
,Skyler Skjelset,1,,FOLEY,0,1,0,0,0,1,0,0,0,0,0
,Skyler Skjelset,1,,KORG DRUM MACHINE,0,0,0,0,0,0,1,0,0,0,0
,Skyler Skjelset,1,,AMPLIFIER NOISE,0,0,0,0,0,0,1,0,0,0,0
,Skyler Skjelset,1,,FOOTSTEPS,0,0,0,0,0,0,0,1,0,0,0
,Skyler Skjelset,1,,MOOG MINITAUR,0,0,0,0,0,0,0,1,0,0,0
,Skyler Skjelset,1,,WATER HARP,0,0,0,0,0,0,0,0,1,0,0
,Christian Wargo,1,,VOCALS,1,0,1,0,0,0,0,0,0,0,0
,Christian Wargo,1,,BASS,1,0,0,0,0,0,1,0,0,1,1
,Christian Wargo,1,,DRUM KIT,0,0,0,0,0,0,0,0,0,1,0
,Casey Wescott,1,,PIANO,1,0,0,0,0,0,0,0,0,0,0
,Casey Wescott,1,,CHROMATIC BELLS,1,0,0,0,0,0,0,0,0,0,1
,Casey Wescott,1,,SUPERCOLLIDER BIRDSONG,1,0,0,0,0,0,0,0,0,0,0
,Casey Wescott,1,,QRAQEBS,1,0,0,0,0,0,1,0,0,0,0
,Casey Wescott,1,,KETTLEDRUM,0,1,0,0,0,0,0,0,0,0,0
,Casey Wescott,1,,PROGRAMMING,1,1,0,0,0,0,1,0,0,0,1
,Casey Wescott,1,,KOTO,0,0,0,0,1,0,0,0,0,0,0
,Casey Wescott,1,,HARPSICHORD,0,0,0,0,0,0,1,0,0,0,0
,Casey Wescott,1,,BLUE NOISE SYNTH,0,0,0,0,0,0,1,0,0,0,1
,Morgan Henderson,1,,CELLO,1,0,0,0,0,0,0,1,0,0,0
,Morgan Henderson,1,,QRAQEBS,1,0,0,0,0,0,1,0,0,0,0
,Morgan Henderson,1,,DOUBLE BASS,1,0,0,0,0,0,1,0,0,0,0
,Morgan Henderson,1,,PITCHED BASS CLARINET,1,0,0,0,0,0,0,0,0,0,1
,Morgan Henderson,1,,PITCHED FLUTE,0,1,0,0,0,0,0,0,0,0,0
,Morgan Henderson,1,,PITCHED CLARINET,0,1,0,0,0,0,0,0,0,0,0
,Morgan Henderson,1,,ALTO FLUTE,0,0,0,0,0,0,0,0,0,1,0
,Hannah Epperson,,,VIOLIN,1,1,1,0,1,0,0,0,0,0,1
,Matthew Barrick,,,DRUM KIT,1,1,1,0,1,0,0,0,1,0,0
,Matthew Barrick,,,PERCUSSION,1,1,1,0,1,0,0,0,1,0,0
,Christopher Icasiano,,,DRUM KIT,0,0,0,0,0,0,1,1,0,0,1
,Christopher Icasiano,,,PERCUSSION,0,0,0,0,0,0,1,1,0,0,1
,Neal Morgan,,,DRUM KIT,1,0,0,0,0,0,0,1,0,0,0
,Neal Morgan,,,PERCUSSION,1,0,0,0,0,0,0,0,0,0,0
,Brian Mcpherson,,,SPOKEN WORD,1,0,0,0,0,0,0,0,0,0,0
,Russell Durham,,,VIOLIN,1,0,0,0,1,0,1,0,0,1,0
,Jeremy Kittel,,,VIOLIN,1,0,0,0,1,0,1,0,0,1,0
,Nicholas Cords,,,VIOLA,1,0,0,0,1,0,1,0,0,1,0
,Dave Eggar,,,CELLO,1,0,0,0,1,0,1,0,0,1,0
,ANDY CLAUSEN,,, TROMBONE,1,1,1,1,1,1,1,1,1,1,1
,WILLEM DE KOCH,,, TROMBONE,1,1,1,1,1,1,1,1,1,1,1
,ZUBIN HENSLER,,, TRUMPET,1,1,1,1,1,1,1,1,1,1,1
,RILEY MULHERKAR,,, TRUMPET,1,1,1,1,1,1,1,1,1,1,1
,PHEONIX FORTE CHOIR,,,VOCALS,1,0,0,0,0,0,0,0,0,0,0
,MULATU ASTATKE,,,SAMPLE,0,0,0,0,0,0,0,1,0,0,0
